"","tipocomprobantecodigo","comprobantecodigo"
"593","FACA2",3613
"594","FAECA",164
"595","FACA2",3446
"596","FACB2",6919
"597","FACB2",7028
"598","FACB2",7135
"599","FACB2",7205
"600","FACB2",7340
"601","FACB2",7502
"602","FACB2",7674
"603","FACB2",7835
"604","FACB2",8021
"605","FACB2",8162
"606","FACB2",8357
"607","FACB2",8491
"608","FACB2",8688
"609","FACB2",8907
"610","FACB2",9262
"611","FACB2",9475
"612","FACB2",9596
"613","FACB2",9807
"614","FACB2",9966
"615","FACB2",9998
"616","FACB2",10074
"617","FACB2",10209
"618","FACB2",10260
"619","FACB2",10293
"620","FACB2",10327
"621","FACB2",10665
"622","FACB2",10740
"623","FACB2",10772
"624","FACB2",10827
"625","FACB2",10907
"626","FACB2",10987
"627","FACB2",11026
"628","FACB2",11201
"629","FACB2",11276
"630","FACB2",11323
"631","FACB2",11348
"632","FACB2",11448
"633","FACB2",11669
"634","FACB2",11693
"635","FACB2",11809
"636","FACB2",11890
"637","FACB2",11967
"638","FACB2",12146
"639","FACB2",12313
"640","FACB2",12421
"641","FACB2",12705
"642","FACB2",12901
"643","FACB2",12959
"644","FACB2",12969
"645","FACB2",13191
"646","FACB2",7702
"647","FACB2",8771
"648","FACB2",12204
"649","FACB2",12506
"650","FACA2",2348
"651","FACA2",2764
"652","FACB2",8411
"653","FACB2",7079
"654","FACB2",7328
"655","FACB2",7743
"656","FACB2",7958
"657","FACB2",8183
"658","FACB2",8386
"659","FACB2",8561
"660","FACB2",8704
"661","FACB2",8854
"662","FACB2",9231
"663","FACB2",9457
"664","FACB2",9746
"665","FACB2",11118
"666","FACB2",11341
"667","FACB2",11613
"668","FACB2",11627
"669","FACB2",11993
"670","FACB2",12306
"671","FACB2",12634
"672","FACB2",12905
"673","FACB2",6925
"674","FACB2",7087
"675","FACB2",7370
"676","FACB2",7557
"677","FACB2",7865
"678","FACB2",8175
"679","FACB2",8271
"680","FACB2",8325
"681","FACB2",8471
"682","FACB2",8608
"683","FACB2",8811
"684","FACB2",8962
"685","FACB2",9171
"686","FACB2",9251
"687","FACB2",9304
"688","FACB2",9393
"689","FACB2",9649
"690","FACB2",9863
"691","FACB2",9965
"692","FACB2",10044
"693","FACB2",10830
"694","FACB2",11560
"695","FACB2",11926
"696","FACB2",12494
"697","FACB2",12649
"698","FACB2",12809
"699","FACB2",12968
"700","FACB2",13105
"701","FACA2",2416
"702","FACA2",2596
"703","FACA2",3015
"704","FACA2",3892
"705","FACA2",4120
"706","FACA2",4195
"707","FACB2",7037
"708","FACB2",7302
"709","FACB2",7745
"710","FACB2",8307
"711","FACB2",8868
"712","FACB2",9196
"713","FACB2",9741
"714","FACB2",9990
"715","FACB2",10628
"716","FACB2",10973
"717","FACB2",11714
"718","FACB2",12384
"719","FACB2",13109
"720","FACB2",7788
"721","FACB2",11587
"722","FACB2",11854
"723","FACA2",2407
"724","FACA2",2467
"725","FACA2",2635
"726","FACA2",2719
"727","FACA2",2778
"728","FACA2",2901
"729","FACA2",2902
"730","FACA2",2941
"731","FACA2",2961
"732","FACA2",3010
"733","FACA2",3066
"734","FACA2",3137
"735","FACA2",3157
"736","FACA2",3185
"737","FACA2",3241
"738","FACA2",3242
"739","FACA2",3265
"740","FACA2",3266
"741","FACA2",3291
"742","FACA2",3327
"743","FACA2",3471
"744","FACA2",3513
"745","FACA2",3527
"746","FACA2",3545
"747","FACA2",3601
"748","FACA2",3623
"749","FACA2",3697
"750","FACA2",3729
"751","FACA2",3810
"752","FACA2",3841
"753","FACA2",3863
"754","FACA2",3888
"755","FACA2",3930
"756","FACA2",3974
"757","FACA2",4019
"758","FACA2",4067
"759","FACA2",4097
"760","FACA2",4157
"761","FACA2",4166
"762","FAECA",95
"763","FAECA",112
"764","FAECA",132
"765","FAECA",154
"766","FAECA",168
"767","FAECA",179
"768","FAECA",197
"769","FAECA",219
"770","FAECA",229
"771","FAECA",235
"772","FAECA",245
"773","FAECA",270
"774","FAECA",322
"775","FAECA",334
"776","FAECA",346
"777","FAECA",355
"778","FAECA",363
"779","FAECA",371
"780","FAECA",393
"781","FAECA",394
"782","FAECA",417
"783","FAECA",509
"784","FAECA",530
"785","FACB2",6904
"786","FACB2",7399
"787","FACB2",7929
"788","FACB2",8818
"789","FACB2",9146
"790","FACB2",9525
"791","FACB2",10551
"792","FACB2",11114
"793","FACB2",11231
"794","FACB2",12235
"795","FACB2",13062
"796","FACB2",7016
"797","FACB2",10374
"798","FACB2",7263
"799","FACB2",7928
"800","FACB2",10031
"801","FACB2",12263
"802","FACB2",7904
"803","FACB2",9449
"804","FACB2",9629
"805","FACB2",10485
"806","FACB2",10675
"807","FACB2",12228
"808","FACB2",12485
"809","FACA2",2614
"810","FACB2",7012
"811","FACB2",7197
"812","FACB2",7415
"813","FACB2",7575
"814","FACB2",7816
"815","FACB2",7980
"816","FACB2",8252
"817","FACB2",8433
"818","FACB2",8523
"819","FACB2",8703
"820","FACB2",8775
"821","FACB2",8866
"822","FACB2",9414
"823","FACB2",9454
"824","FACB2",9654
"825","FACB2",10395
"826","FACB2",10676
"827","FACB2",11366
"828","FACB2",11493
"829","FACB2",11629
"830","FACB2",11899
"831","FACB2",12025
"832","FACB2",12580
"833","FACB2",12654
"834","FACB2",12832
"835","FACB2",7921
"836","FACB2",8151
"837","FACB2",12676
"838","FACB2",7024
"839","FACB2",7146
"840","FACB2",7173
"841","FACB2",7269
"842","FACB2",7379
"843","FACB2",7599
"844","FACB2",7767
"845","FACB2",7906
"846","FACB2",8052
"847","FACB2",8074
"848","FACB2",8163
"849","FACB2",8213
"850","FACB2",8319
"851","FACB2",8464
"852","FACB2",8506
"853","FACB2",8654
"854","FACB2",8759
"855","FACB2",8838
"856","FACB2",8935
"857","FACB2",8991
"858","FACB2",9113
"859","FACB2",9340
"860","FACB2",9346
"861","FACB2",9376
"862","FACB2",9521
"863","FACB2",9583
"864","FACB2",9678
"865","FACB2",9686
"866","FACB2",9725
"867","FACB2",9784
"868","FACB2",9881
"869","FACB2",9971
"870","FACB2",9972
"871","FACB2",9996
"872","FACB2",10174
"873","FACB2",10211
"874","FACB2",10275
"875","FACB2",10292
"876","FACB2",10561
"877","FACB2",10589
"878","FACB2",10648
"879","FACB2",10783
"880","FACB2",10825
