"","id","tipo","periodo","monto","mandatarios06","recibos"
"157",171,"Reg-Cov","2019",7735,NA,NA
"158",171,"Reg-Cov","2022",257994.56,NA,51096
"159",171,"Reg-Cov","A Vencer",285234,NA,44475
"160",171,"Turismo","2021",90000,90000,NA
"161",172,"Detectar","",1062673,NA,NA
"162",172,"Detectar","2022",610530,NA,610530
"163",172,"Reg-Cov","",1754956.18,NA,NA
"164",172,"Reg-Cov","2022",940338.67,NA,930692.67
"165",172,"Reg-Cov","A Vencer",1206995.25,NA,NA
"166",174,"Detectar","",46422230,NA,NA
"167",174,"Detectar","2021",74861490.65,NA,NA
"168",174,"Detectar","2022",25843357.19,NA,NA
"169",174,"Detectar","A Vencer",27672446,NA,NA
"170",174,"Reg-Cov","",88949291.42,NA,8252751.17
"171",174,"Reg-Cov","2020",13406706.61,NA,2970182.38
"172",174,"Reg-Cov","2021",122696664.55,NA,15689421.72
"173",174,"Reg-Cov","2022",132935827.07,NA,618150.4
"174",174,"Reg-Cov","A Vencer",60156159.28,NA,7589731.34
"175",174,"Turismo","2021",60786406.75,NA,NA
"176",174,"Turismo","2022",522468,NA,NA
"177",175,"Detectar","2022",309762,NA,NA
"178",175,"Detectar","A Vencer",437186,NA,NA
"179",175,"Reg-Cov","",367029,NA,NA
"180",175,"Reg-Cov","2021",1071447.72,NA,NA
"181",175,"Reg-Cov","2022",625900.63,NA,753864.41
"182",175,"Reg-Cov","A Vencer",403089.41,NA,NA
"183",176,"Detectar","",3729589,NA,NA
"184",176,"Detectar","2021",6133661,NA,NA
"185",176,"Detectar","2022",6650941,NA,NA
"186",176,"Detectar","A Vencer",1025753,NA,NA
"187",176,"Reg-Cov","",14918585.46,NA,NA
"188",176,"Reg-Cov","2020",10239591.88,NA,NA
"189",176,"Reg-Cov","2021",130428156.71,NA,NA
"190",176,"Reg-Cov","2022",160631727.14,NA,NA
"191",176,"Reg-Cov","A Vencer",28334482.9,NA,NA
"192",176,"Turismo","2021",2027480,NA,NA
"193",177,"Detectar","A Vencer",489150,NA,NA
"194",177,"Reg-Cov","A Vencer",100604,NA,NA
"195",178,"Detectar","",24669492,NA,NA
"196",178,"Detectar","2021",69581702,NA,NA
"197",178,"Detectar","2022",25280657,NA,NA
"198",178,"Detectar","A Vencer",14584296,NA,NA
"199",178,"Reg-Cov","",27550444.34,NA,NA
"200",178,"Reg-Cov","2019",1562168.58,NA,NA
"201",178,"Reg-Cov","2020",11784299.26,NA,NA
"202",178,"Reg-Cov","2021",121877787.82,NA,NA
"203",178,"Reg-Cov","2022",67888180.87,NA,5350783.99
"204",178,"Reg-Cov","A Vencer",46051868.05,NA,15522294.05
"205",178,"Turismo","2021",104192482,NA,NA
"206",179,"Reg-Cov","",43069,NA,NA
"207",179,"Reg-Cov","2022",250,NA,250
"208",179,"Reg-Cov","A Vencer",1049438.83,NA,951649.83
"209",180,"Detectar","2022",82002,NA,62441
"210",180,"Detectar","A Vencer",227521,NA,NA
"211",180,"Reg-Cov","",209891.63,NA,NA
"212",180,"Reg-Cov","2021",38961,NA,38961
"213",180,"Reg-Cov","2022",472091,NA,429874
"214",180,"Reg-Cov","A Vencer",154481,NA,NA
"215",180,"Turismo","2021",48060,NA,48060
"216",183,"Reg-Cov","A Vencer",19413,NA,19413
"217",184,"Detectar","2021",5401,5401,NA
"218",184,"Detectar","A Vencer",83625,NA,700565
"219",184,"Reg-Cov","",2813,NA,NA
"220",184,"Reg-Cov","2019",3005.16,3005.16,NA
"221",184,"Reg-Cov","2021",21293,53643.59,NA
"222",184,"Reg-Cov","2022",491375.7,15726,475649.7
"223",184,"Reg-Cov","A Vencer",2534931.51,NA,2948205
"224",184,"Turismo","2021",34144,34144,NA
"225",186,"Detectar","A Vencer",299381,NA,293037
"226",186,"Reg-Cov","2021",0.07,NA,NA
"227",186,"Reg-Cov","A Vencer",129569,NA,293037
"228",187,"Detectar","2022",53625,NA,NA
"229",187,"Detectar","A Vencer",113526,NA,NA
"230",187,"Reg-Cov","",104286,NA,NA
"231",187,"Reg-Cov","2021",25810,NA,NA
"232",187,"Reg-Cov","2022",934535.85,NA,379475
"233",187,"Reg-Cov","A Vencer",485394.55,NA,NA
"234",189,"Detectar","A Vencer",352589,NA,352589
"235",189,"Reg-Cov","",7085,NA,17.53
"236",189,"Reg-Cov","2022",1896,NA,1896
"237",189,"Reg-Cov","A Vencer",912462.98,NA,541637.72
"238",190,"Detectar","A Vencer",79930,NA,NA
"239",190,"Reg-Cov","",26113,NA,NA
"240",190,"Reg-Cov","A Vencer",76789,NA,NA
"241",192,"Detectar","A Vencer",550527,NA,184019
"242",192,"Reg-Cov","A Vencer",1621368.76,NA,1708878.76
"243",193,"Reg-Cov","",223716.35,NA,NA
"244",194,"Detectar","A Vencer",300704,NA,NA
"245",194,"Reg-Cov","2022",245392.22,NA,NA
"246",194,"Reg-Cov","A Vencer",388693.22,NA,58977
"247",195,"Detectar","2022",56050,NA,NA
"248",195,"Reg-Cov","",264712,NA,NA
"249",195,"Reg-Cov","2022",153022,NA,NA
"250",195,"Reg-Cov","A Vencer",360075.76,NA,NA
"251",196,"Detectar","2022",4178,NA,NA
"252",196,"Detectar","A Vencer",230704,NA,NA
"253",196,"Reg-Cov","",192418.54,NA,NA
"254",196,"Reg-Cov","2022",6031798.51,NA,1e+05
"255",196,"Reg-Cov","A Vencer",255924.85,NA,NA
"256",199,"Detectar","A Vencer",593100,NA,NA
"257",199,"Reg-Cov","",169202.39,NA,NA
"258",199,"Reg-Cov","A Vencer",270818,NA,NA
"259",200,"Detectar","",22336,NA,NA
"260",200,"Detectar","2021",44550,NA,NA
"261",200,"Detectar","2022",547632,NA,NA
"262",200,"Reg-Cov","",95910,NA,NA
"263",200,"Reg-Cov","2021",1757388.06,NA,NA
"264",200,"Reg-Cov","2022",1134535.37,NA,NA
"265",200,"Reg-Cov","A Vencer",96893.29,NA,NA
"266",202,"Detectar","A Vencer",2458654,NA,NA
"267",202,"Reg-Cov","",21764283.97,NA,NA
"268",202,"Reg-Cov","2019",226379.43,NA,NA
"269",202,"Reg-Cov","2021",119228,123885.85,NA
"270",202,"Reg-Cov","2022",14829236.76,NA,5069984.51
"271",202,"Reg-Cov","A Vencer",8868359.47,NA,NA
"272",204,"Reg-Cov","2018",1509383.04,NA,NA
"273",204,"Reg-Cov","2020",388826.29,NA,NA
"274",204,"Reg-Cov","2022",8504,NA,8504
"275",204,"Reg-Cov","A Vencer",25616,NA,NA
"276",205,"Detectar","2021",63582,NA,NA
"277",205,"Detectar","2022",519024,NA,NA
"278",205,"Detectar","A Vencer",1582717,NA,NA
"279",205,"Reg-Cov","",3430654.14,NA,NA
"280",205,"Reg-Cov","2021",131761,NA,NA
"281",205,"Reg-Cov","2022",5135953.9,NA,20484
"282",205,"Reg-Cov","A Vencer",2957389.25,NA,NA
"283",216,"Detectar","2022",475247,NA,NA
"284",216,"Reg-Cov","",1285922,NA,NA
"285",216,"Reg-Cov","2021",302158,302158,NA
"286",216,"Reg-Cov","2022",4782112,NA,NA
"287",216,"Reg-Cov","A Vencer",701779.01,NA,NA
"288",216,"Turismo","2021",2092500,2092500,NA
"289",218,"Detectar","A Vencer",1605962,NA,NA
"290",218,"Reg-Cov","",2507122.51,NA,NA
"291",218,"Reg-Cov","A Vencer",1545354,NA,NA
"292",224,"Detectar","A Vencer",398758,NA,NA
"293",224,"Reg-Cov","",2938,NA,NA
"294",224,"Reg-Cov","2022",129222.89,NA,129222.8
"295",224,"Reg-Cov","A Vencer",525899.44,NA,503653.05
"296",227,"Detectar","",2640531,NA,NA
"297",227,"Detectar","2021",1299282,1323276.3,NA
"298",227,"Detectar","2022",3129833,NA,NA
"299",227,"Detectar","A Vencer",335543,NA,NA
"300",227,"Reg-Cov","",14315347.91,NA,NA
"301",227,"Reg-Cov","2021",7499188.38,7679053.9,NA
"302",227,"Reg-Cov","2022",55078561.37,3691911.23,NA
"303",227,"Reg-Cov","A Vencer",8920972.16,NA,NA
"304",227,"Turismo","2021",22945,95139.01,NA
"305",233,"Detectar","2021",782313,NA,NA
"306",233,"Detectar","2022",4936781,NA,NA
"307",233,"Detectar","A Vencer",5203523,NA,NA
"308",233,"Reg-Cov","",17077230.81,NA,6185103.57
"309",233,"Reg-Cov","2021",3131179.43,NA,2360141.43
"310",233,"Reg-Cov","2022",82718955.03,NA,630018
"311",233,"Reg-Cov","A Vencer",9092710.56,NA,NA
"312",235,"Reg-Cov","2022",666759.77,NA,NA
"313",235,"Reg-Cov","A Vencer",457521,NA,169016
"314",238,"Detectar","",67080,NA,NA
"315",238,"Detectar","2021",3764,NA,NA
"316",238,"Detectar","2022",8356,8356,NA
"317",238,"Reg-Cov","",142004,NA,NA
"318",238,"Reg-Cov","2017",382.4,233,NA
"319",238,"Reg-Cov","2019",6611,6611,NA
"320",238,"Reg-Cov","2021",10162,17728.47,NA
"321",238,"Reg-Cov","2022",490797,191053,299744
"322",238,"Reg-Cov","A Vencer",24527,NA,NA
"323",238,"Turismo","2021",2500,2500,NA
"324",239,"Reg-Cov","",493716.58,NA,NA
"325",239,"Reg-Cov","2022",1931638.03,NA,1900327.21
"326",241,"Detectar","",15129,NA,NA
"327",241,"Detectar","2022",4178,NA,98407.74
"328",241,"Reg-Cov","",21452,NA,NA
"329",241,"Reg-Cov","2022",116152.74,NA,98407.74
"330",243,"Reg-Cov","",25220,NA,NA
"331",243,"Reg-Cov","2022",6241,NA,NA
"332",243,"Reg-Cov","A Vencer",477094.24,NA,NA
