"clienteid","SaldoHistorico"
1131,5000
1132,0
1133,1083745
1134,0
1135,0
1136,0
1137,0
1138,0
1139,903627
1140,1825
1141,15241
1142,1507
1143,0
1144,1966810
1145,0
1146,0
1147,0
1148,1907
1149,0
1150,731
1151,124
1152,0
1153,4009
1154,0
1155,15833
1156,7336
1157,0
1158,40480
1159,5364
1160,0
1161,2370710
1162,16132
1163,82479
1164,449032
1165,0
1166,549600
1167,0
1168,0
1169,0
1170,32859
1171,12625
1172,0
1173,0
1174,2530346
1175,113064
1176,0
1177,26561
1178,0
1179,11792801
1180,0
1181,10835
1182,1551757
1183,0
1184,9317234
1185,21570
1186,0
1187,0
1188,0
1189,0
1190,151237
2000,0
2005,0
2006,0
2007,36408
2009,2685458
2010,0
2011,565513
2012,0
2014,146612
2016,0
2017,3810546
2018,5107844
2019,21970
2020,132014
2021,262296
2022,0
2023,296289
2024,38079
2025,0
2026,1091
2027,54194
2028,119075
2029,0
2030,0
2031,32600
2032,1264304
2033,312675765
2034,4692712
2035,123872
2036,9353
2037,683048
2038,0
2039,0
2040,2235626
2041,15434
2042,0
2043,0
2049,1401504
2050,0
2051,0
2052,0
2053,95319
2055,5280
2056,82817
1,489551361
5,59015126
6,0
7,0
2054,57283
2057,0
2058,8407096
2059,0
4,0
110,0
155,4630
191,147
234,0
253,0
350,0
364,25586
376,8595451
401,0
402,0
442,0
465,0
530,269703
554,0
571,0
673,35152
700,209442
885,0
928,0
953,0
975,2596688
1101,8753
2044,0
2045,0
2046,3714699
2047,0
2048,393620
