"","date","count"
"237",2020-08-24 11:40:00,47
"238",2020-08-25 11:40:00,46
"239",2020-08-26 11:40:00,43
"240",2020-08-27 11:40:00,44
"241",2020-08-28 11:40:00,50
"242",2020-08-29 11:40:00,50
"243",2020-08-30 11:40:00,48
"244",2020-08-31 11:40:00,50
"245",2020-09-01 11:40:00,50
"246",2020-09-02 11:40:00,49
"247",2020-09-03 11:40:00,48
"248",2020-09-04 11:40:00,45
"249",2020-09-05 11:40:00,47
"250",2020-09-06 11:40:00,49
"251",2020-09-07 11:40:00,48
"252",2020-09-08 11:40:00,50
"253",2020-09-09 11:40:00,50
"254",2020-09-10 11:40:00,51
"255",2020-09-11 11:40:00,47
"256",2020-09-12 11:40:00,45
"257",2020-09-13 11:40:00,44
"258",2020-09-14 11:40:00,44
"259",2020-09-15 11:40:00,39
"260",2020-09-16 11:40:00,42
"261",2020-09-17 11:40:00,43
"262",2020-09-18 11:40:00,41
"263",2020-09-19 11:40:00,39
"264",2020-09-20 11:40:00,39
"265",2020-09-21 11:40:00,41
"266",2020-09-22 11:40:00,39
"267",2020-09-23 11:40:00,39
"268",2020-09-24 11:40:00,43
"269",2020-09-25 11:40:00,46
"270",2020-09-26 11:40:00,42
"271",2020-09-27 11:40:00,45
"272",2020-09-28 11:40:00,44
"273",2020-09-29 11:40:00,43
"274",2020-09-30 11:40:00,45
"275",2020-10-01 11:40:00,45
"276",2020-10-02 11:40:00,44
"277",2020-10-03 11:40:00,41
"278",2020-10-04 11:40:00,41
"279",2020-10-05 11:40:00,38
"280",2020-10-06 11:40:00,38
"281",2020-10-07 11:40:00,38
"282",2020-10-08 11:40:00,38
"283",2020-10-09 11:40:00,39
"284",2020-10-10 11:40:00,36
"285",2020-10-11 11:40:00,36
"286",2020-10-12 11:40:00,38
"287",2020-10-13 11:40:00,40
"288",2020-10-14 11:40:00,39
"289",2020-10-15 11:40:00,42
"290",2020-10-16 11:40:00,42
"291",2020-10-17 11:40:00,41
"292",2020-10-18 11:40:00,38
"293",2020-10-19 11:40:00,41
"294",2020-10-20 11:40:00,38
"295",2020-10-21 11:40:00,39
"296",2020-10-22 11:40:00,39
"297",2020-10-23 11:40:00,43
"298",2020-10-24 11:40:00,41
"299",2020-10-25 11:40:00,38
"300",2020-10-26 11:40:00,37
"301",2020-10-27 11:40:00,35
"302",2020-10-28 11:40:00,35
"303",2020-10-29 11:40:00,37
"304",2020-10-30 11:40:00,39
"305",2020-10-31 11:40:00,39
"306",2020-11-01 11:40:00,40
"307",2020-11-02 11:40:00,41
"308",2020-11-03 11:40:00,42
"309",2020-11-04 11:40:00,44
"310",2020-11-05 11:40:00,43
"311",2020-11-06 11:40:00,41
