"","Nro Intimacion","Factura","Cliente","Emision","Importe","Vencimiento","Fecha Intimacion","Recepcion Intimacion","Imputacion","Fecha Imputacion","Importe Imputacion","Saldo"
"48",1830,"FACB2 - 10664","431 - OSME",2020-09-25,60267,2020-11-12,2021-01-21 00:00:00,2021-02-08,"RECX2 - 8669",2021-02-22,2507,0
"49",1808,"FACA2 - 3388","553 - OSTEL",2020-09-16,79920,2020-10-22,2021-01-21 00:00:00,2021-01-25,"RECX2 - 8640",2021-02-23,79920,0
"50",1808,"FACA2 - 3494","553 - OSTEL",2020-09-29,54987,2020-11-12,2021-01-21 00:00:00,2021-01-25,"RECX2 - 8640",2021-02-23,54987,0
"51",1808,"FACA2 - 3529","553 - OSTEL",2020-10-14,55895,2020-11-20,2021-01-21 00:00:00,2021-01-25,"RECX2 - 8640",2021-02-23,55895,0
"52",1875,"FACA2 - 2805","337 - OSFATUN",2020-06-12,43794,2020-08-01,2021-02-03 00:00:00,2021-02-09,"NCA - 1564",2021-02-24,39927,964
"53",1878,"FACB2 - 8040","491 - OSPPEA",2020-04-29,30047,2020-10-31,2021-02-03 00:00:00,2021-02-09,"RECX2 - 8701",2021-02-25,23964,0
"54",1814,"FACB2 - 9614","611 - ASOCIACION MUTUAL SANCOR",2020-08-11,11210,2020-09-20,2021-01-21 00:00:00,2021-01-28,"RECX2 - 8707",2021-02-25,11210,0
"55",1783,"FACB2 - 11220","301 - OSTEE",2020-10-23,1679566.98,2020-11-25,2021-01-07 00:00:00,2021-01-19,"RECX2 - 8722",2021-02-25,1679566.98,0
"56",1866,"FACB2 - 10803","252 - OSPEDYC",2020-10-07,188028,2020-11-22,2021-01-28 00:00:00,2021-02-01,"RECX2 - 8766",2021-02-25,165622,5148
"57",1866,"FACB2 - 10887","252 - OSPEDYC",2020-10-13,176460,2020-11-19,2021-01-28 00:00:00,2021-02-01,"RECX2 - 8767",2021-02-25,171298,0
"58",1876,"FACB2 - 9348","499 - OSPEGAP",2020-07-27,280862,2020-10-09,2021-02-03 00:00:00,2021-02-10,"RECX2 - 8789",2021-02-26,280862,0
"59",1876,"FACB2 - 9805","499 - OSPEGAP",2020-08-14,8504,2020-10-09,2021-02-03 00:00:00,2021-02-10,"RECX2 - 8789",2021-02-26,3356,0
"60",1879,"FACB2 - 10392","560 - IPS SALTA",2020-09-16,252591.32,2020-10-16,2021-02-03 00:00:00,2021-02-12,"RECX2 - 8811",2021-02-26,252591.32,0
"61",1881,"FACB2 - 7861","1128 - OSUTI",2020-04-16,38289,2020-11-05,2021-02-03 00:00:00,2021-02-09,"RECX2 - 8839",2021-03-01,35666,0
"62",1878,"FACB2 - 8094","491 - OSPPEA",2020-05-11,42844.66,2020-10-31,2021-02-03 00:00:00,2021-02-09,"RECX2 - 8840",2021-03-01,6186.66,0
"63",1878,"FACB2 - 9900","491 - OSPPEA",2020-08-20,30113,2020-10-31,2021-02-03 00:00:00,2021-02-09,"RECX2 - 8841",2021-03-01,20938,0
"64",1878,"FACB2 - 10637","491 - OSPPEA",2020-09-25,47220,2020-11-07,2021-02-03 00:00:00,2021-02-09,"RECX2 - 8841",2021-03-01,42058,0
"65",1878,"FACB2 - 11070","491 - OSPPEA",2020-10-20,65377,2020-11-27,2021-02-03 00:00:00,2021-02-09,"RECX2 - 8841",2021-03-01,60489,0
"66",1878,"FACB2 - 9709","491 - OSPPEA",2020-08-13,15444,2020-10-31,2021-02-03 00:00:00,2021-02-09,"RECX2 - 8843",2021-03-01,15444,0
"67",1814,"FACB2 - 7017","611 - ASOCIACION MUTUAL SANCOR",2020-01-20,72995,2020-03-19,2021-01-21 00:00:00,2021-01-28,"RECX2 - 8847",2021-03-01,72457,0
"68",1814,"FACB2 - 7976","611 - ASOCIACION MUTUAL SANCOR",2020-04-27,27198,2020-06-18,2021-01-21 00:00:00,2021-01-28,"RECX2 - 8847",2021-03-01,27198,0
"69",1814,"FACB2 - 8532","611 - ASOCIACION MUTUAL SANCOR",2020-06-12,39048,2020-07-23,2021-01-21 00:00:00,2021-01-28,"RECX2 - 8847",2021-03-01,39048,0
"70",1814,"FACB2 - 8997","611 - ASOCIACION MUTUAL SANCOR",2020-07-14,16344,2020-09-10,2021-01-21 00:00:00,2021-01-28,"RECX2 - 8847",2021-03-01,16344,0
"71",1814,"FACB2 - 10239","611 - ASOCIACION MUTUAL SANCOR",2020-09-10,51340,2020-10-23,2021-01-21 00:00:00,2021-01-28,"RECX2 - 8847",2021-03-01,51340,0
"72",1814,"FACB2 - 10658","611 - ASOCIACION MUTUAL SANCOR",2020-09-25,89888,2020-11-12,2021-01-21 00:00:00,2021-01-28,"RECX2 - 8847",2021-03-01,89888,0
"73",1830,"FACB2 - 10467","431 - OSME",2020-09-18,32482,2020-10-23,2021-01-21 00:00:00,2021-02-08,"RECX2 - 8852",2021-03-01,32482,0
"74",1797,"FACA2 - 2542","379 - IPS  MISIONES",2020-03-25,23144,2020-06-07,2021-01-21 00:00:00,2021-01-26,"RECX2 - 8863",2021-03-02,13072,0
"75",1793,"FACB2 - 10552","177 - DAS",2020-09-22,2300896.1,2020-10-22,2021-01-21 00:00:00,2021-01-25,"RECX2 - 8870",2021-03-03,2297499.1,3397
"76",1836,"FACB2 - 153","378 - OSCEP",2017-03-09,21371.76,2017-04-26,2021-01-28 00:00:00,2021-02-02,"RECX2 - 8872",2021-03-03,249.69,0
"77",1836,"FACB2 - 540","378 - OSCEP",2017-03-28,2771,2017-05-19,2021-01-28 00:00:00,2021-02-02,"RECX2 - 8872",2021-03-03,32.37,0
"78",1836,"FACB2 - 1590","378 - OSCEP",2017-09-07,56540.83,2017-10-20,2021-01-28 00:00:00,2021-02-02,"RECX2 - 8872",2021-03-03,291.74,0
"79",1836,"FACB2 - 1954","378 - OSCEP",2017-11-06,176641.1,2017-12-26,2021-01-28 00:00:00,2021-02-02,"RECX2 - 8872",2021-03-03,2319.69,0
"80",1836,"FACB2 - 2167","378 - OSCEP",2017-11-30,470047.78,2018-01-12,2021-01-28 00:00:00,2021-02-02,"RECX2 - 8872",2021-03-03,7164.69,0
"81",1786,"FACB2 - 9678","150 - OSBA",2020-08-12,77818,2020-10-10,2021-01-07 00:00:00,2021-01-19,"RECX2 - 8875",2021-03-03,49812,28006
"82",1786,"FACB2 - 10648","150 - OSBA",2020-09-25,141333.2,2020-11-07,2021-01-07 00:00:00,2021-01-19,"RECX2 - 8875",2021-03-03,16886,124447.2
"83",1856,"FACB2 - 6480","475 - OSIPA",2019-11-15,55940.7,2020-01-04,2021-01-28 00:00:00,2021-02-01,"RECX2 - 8880",2021-03-03,55763.7,0
"84",1856,"FACB2 - 8418","475 - OSIPA",2020-06-03,14573,2020-08-02,2021-01-28 00:00:00,2021-02-01,"RECX2 - 8880",2021-03-03,14573,0
"85",1856,"FACB2 - 9223","475 - OSIPA",2020-07-21,10296,2020-09-25,2021-01-28 00:00:00,2021-02-01,"RECX2 - 8880",2021-03-03,10296,0
"86",1857,"FACA2 - 2702","5 - SOC ITALIANA BENEFICENCIA",2020-05-21,50091,2020-07-08,2021-01-28 00:00:00,2021-02-01,"RECX2 - 8882",2021-03-03,47632,0
